type,count,country,abbreviation
Hospital Diagnostic centre,4,Nigeria,HDC
Women Clinic,4,Nigeria,WC
Government Health Post,4,Nigeria,GHP
Dental Hospital,4,Nigeria,DH
Police Health Clinic,4,Nigeria,PHC
Comprehensive Clinic,4,Nigeria,CC
Primary School Clinic,4,Nigeria,PSC
Primary Health Care Centre,4,Nigeria,PHCC
Medical centre Hospital Maternity,4,Nigeria,MCHM
Mother Clinic,4,Nigeria,MC
Clinic Primary Health centre,4,Nigeria,CPHC
Child Clinic,4,Nigeria,CC
Government Cottage Hospital,4,Nigeria,GCH
Dispensary Maternity,4,Nigeria,DM
Eye Care,4,Nigeria,EC
Medical Health centre,4,Nigeria,MHC
Optical Clinic,4,Nigeria,OC
Community Comprehensive Health centre,4,Nigeria,CCHC
Clinic Maternity Clinic,4,Nigeria,CMC
Hospital Maternity Clinic,4,Nigeria,HMC
Health Maternity,4,Nigeria,HM
Health Primary Health centre,4,Nigeria,HPHC
Maternity Child Primary Health centre,4,Nigeria,MCPHC
Leprosy Hospital,4,Nigeria,LH
Clinic,4,Nigeria,Cln
School Dispensary,4,Nigeria,SD
Hospital Ultrasound centre,4,Nigeria,HUC
Basic Primary Health centre,4,Nigeria,BPHC
Primary Clinic,4,Nigeria,PC
Comprehensive Health Care centre,4,Nigeria,CHCC
Women Health,4,Nigeria,WH
Community Hospital Maternity,4,Nigeria,CHM
Family Clinic Maternity,4,Nigeria,FCM
Aged Clinic,4,Nigeria,AC
Medical Laboratories,4,Nigeria,ML
Rehabilitation centre,4,Nigeria,RC
Care Specialist Hospital,4,Nigeria,CSH
Primary Care,4,Nigeria,PC
Maternity,4,Nigeria,Mat
Maternal Clinic,3,Nigeria,MC
Government Maternity Clinic,3,Nigeria,GMC
Maternity Child,3,Nigeria,MC
Medical Diagnostics,3,Nigeria,MD
University Hospital,3,Nigeria,UH
Police Health centre,3,Nigeria,PHC
Primary Health Care Post,3,Nigeria,PHCP
Medical Clinic Maternity Home,3,Nigeria,MCMH
Basic Health Post,3,Nigeria,BHP
Police Cottage Hospital,3,Nigeria,PCH
Comprehensive Medical centre,3,Nigeria,CMC
centre Comprehensive Health,3,Nigeria,CCH
Health Clinic centre,3,Nigeria,HCC
Laboratory Services,3,Nigeria,LS
Medical centre Maternity Home,3,Nigeria,MCMH
Medical Centre,3,Nigeria,MC
Clinic Diagnostic centre,3,Nigeria,CDC
health centre,3,Nigeria,HC
Federal Psychiatric Hospital,3,Nigeria,FPH
Health Facility centre,3,Nigeria,HFC
Leprosy centre,3,Nigeria,LC
Specialist Laboratory,3,Nigeria,SL
Clinic Laboratory,3,Nigeria,CL
Specialist Medical centre,3,Nigeria,SMC
National Clinic,3,Nigeria,NC
Community Maternity,3,Nigeria,CM
Nursing Maternity Clinic,3,Nigeria,NMC
Catholic Clinic Maternity,3,Nigeria,CCM
Mother Maternity Home,3,Nigeria,MMH
Child Health Care,3,Nigeria,CHC
Federal Staff Clinic,3,Nigeria,FSC
centre Primary Health centre,3,Nigeria,CPHC
Diagnostic Services,3,Nigeria,DS
Cottage Hospital Maternity,3,Nigeria,CHM
Cottage Clinic,3,Nigeria,CC
Miracle Hospital,3,Nigeria,MH
Referral Hospital,3,Nigeria,RH
Health Care Clinic,3,Nigeria,HCC
Medical Maternity,3,Nigeria,MM
Primary Healthcare Clinic,3,Nigeria,PHC
Health Clinic Annex,3,Nigeria,HCA
primary Health centre,3,Nigeria,PHC
Medical Clinic Maternity centre,3,Nigeria,MCMC
Med Hospital,3,Nigeria,MH
Care Health centre,3,Nigeria,CHC
Central Hospital Maternity,3,Nigeria,CHM
Herbal Clinic,3,Nigeria,HC
Mother Child Hospital,3,Nigeria,MCH
Child Care centre,3,Nigeria,CCC
Army Health centre,3,Nigeria,AHC
Health Specialist Clinic,3,Nigeria,HSC
Hospital Maternity,3,Nigeria,HM
National Medical centre,3,Nigeria,NMC
Specialist Maternity,3,Nigeria,SM
Clinic Medical centre,3,Nigeria,CMC
Mother Maternity,3,Nigeria,MM
Community Primary Health Care centre,3,Nigeria,CPHCC
Motherless Home,3,Nigeria,MH
Health Clinics,3,Nigeria,HC
Community Primary Health Care,3,Nigeria,CPHC
Central Health Clinic,3,Nigeria,CHC
Maternal Health Clinic,3,Nigeria,MHC
Specialist Hospital Diagnostic centre,2,Nigeria,SHDC
Referral Health centre,2,Nigeria,RHC
Medical Maternity Home,2,Nigeria,MMH
Welfare Clinic,2,Nigeria,WC
Hospital Marternity,2,Nigeria,HM
Aged Women Clinic,2,Nigeria,AWC
Central Maternity Home,2,Nigeria,CMH
Health Primary centre,2,Nigeria,HPC
Psychiatric Clinic,2,Nigeria,PC
State University Clinic,2,Nigeria,SUC
State University Medical centre,2,Nigeria,SUMC
Community General Hospital,2,Nigeria,CGH
Maternity centre State,2,Nigeria,MCS
Maternityernal Child Health Care centre,2,Nigeria,MCHCC
Federal Government Clinic,2,Nigeria,FGC
Community Cottage Hospital,2,Nigeria,CCH
Medical Dental Hospital,2,Nigeria,MDH
Diagnostics Clinical Services,2,Nigeria,DCS
School Health centre,2,Nigeria,SHC
Maternity Child Welfare centre,2,Nigeria,MCWC
Clinic Maternity Health centre,2,Nigeria,CMHC
Maternity Family centre,2,Nigeria,MFC
Tuberculosis Leprosy Hospital,2,Nigeria,TLH
Infant Clinic,2,Nigeria,IC
Welfare Hospital,2,Nigeria,WH
Specialist Hospitals,2,Nigeria,SH
Aged Widow Clinic,2,Nigeria,AWC
Community Referral Health centre,2,Nigeria,CRHC
Federal Staff Hospital,2,Nigeria,FSH
Specialist Teaching Hospital,2,Nigeria,STH
Herbal Home,2,Nigeria,HH
General Clinic,2,Nigeria,GC
Diagnostic Hospital,2,Nigeria,DH
Medical Scan Diagnostic centre,2,Nigeria,MSDC
maternity Home,2,Nigeria,MH
Maternity Clinics,2,Nigeria,MC
Basic Primary Health Clinic,2,Nigeria,BPHC
Community Medical centre,2,Nigeria,CMC
Police Medical Clinic,2,Nigeria,PMC
Family Medical centre,2,Nigeria,FMC
Specialist Hospital centre,2,Nigeria,SHC
Clinic Nursing Home,2,Nigeria,CNH
Hospital Medical centre,2,Nigeria,HMC
Medicare centre,2,Nigeria,MC
maternity centre,2,Nigeria,MC
Hospital Diagnostics,2,Nigeria,HD
Primary Care centre,2,Nigeria,PCC
Prison Hospital,2,Nigeria,PH
Specialist hospital,2,Nigeria,SH
Family Hospital Maternity,2,Nigeria,FHM
Basic Health Centre,2,Nigeria,BHC
Maternity Child Care,2,Nigeria,MCC
Diagnostic Clinic,2,Nigeria,DC
Mother Child Welfare centre,2,Nigeria,MCWC
Community School Health Post,2,Nigeria,CSHP
Traditional Clinic,2,Nigeria,TC
Primary Health Facility,2,Nigeria,PHF
Community Health Centre,2,Nigeria,CHC
Family Care Hospital,2,Nigeria,FCH
Widow Aged Clinic,2,Nigeria,WAC
Health Maternity centre,2,Nigeria,HMC
Diagnostic Medical Laboratory,2,Nigeria,DML
Marternity Health Care,2,Nigeria,MHC
Private Primary Health centre,2,Nigeria,PPHC
State Medical centre,2,Nigeria,SMC
Federal Primary Health Care,2,Nigeria,FPHC
Army Medical centre,2,Nigeria,AMC
Central Primary School Clinic,2,Nigeria,CPSC
Home Hospital,2,Nigeria,HH
Health centre Clinic,2,Nigeria,HCC
Hospital Clinics,2,Nigeria,HC
Family Health Post,2,Nigeria,FHP
Rehabilitation Centre,2,Nigeria,RC
Maternal Child Welfare Clinic,2,Nigeria,MCWC
Maternity Child Primary Health Clinic,2,Nigeria,MCPHC
Leprosy Health Care,2,Nigeria,LHC
Community Health Care centre,2,Nigeria,CHCC
Hospitals Maternity,2,Nigeria,HM
Health Laboratory,2,Nigeria,HL
Specialist Eye Clinic,2,Nigeria,SEC
Dispensary Health Clinic,2,Nigeria,DHC
Health Diagnostic centre,2,Nigeria,HDC
Comprehensive School Clinic,2,Nigeria,CSC
Government School Primary Health centre,2,Nigeria,GSPHC
Optical Services Eye Clinic,2,Nigeria,OSEC
Maternal Child Health centre,2,Nigeria,MCHC
Hospital Motherless,2,Nigeria,HM
National Primary Healthcare,2,Nigeria,NPH
Primary Health Post,2,Nigeria,PHP
Asibiti Health Post,2,Nigeria,AHP
Family Health Care centre,2,Nigeria,FHCC
Medical Diagnostic Services,2,Nigeria,MDS
Veterinary Hospital,2,Nigeria,VH
Maternal Child centre,2,Nigeria,MCC
Women Specialist Clinic,2,Nigeria,WSC
Clinic and maternity,2,Nigeria,C&M
Community Primary Health Clinic,2,Nigeria,CPHC
Maternal Child Hospital,2,Nigeria,MCH
Health Clinic,2,Nigeria,HC
Hospital Specialist Clinic,2,Nigeria,HSC
Maternity Infant Welfare Clinic,2,Nigeria,MIWC
State Primary Health centre,2,Nigeria,SPHC
Catholic Specialist Hospital,2,Nigeria,CSH
Maternity Care,2,Nigeria,MC
Maternal Health Care,2,Nigeria,MHC
Nursing Clinic,2,Nigeria,NC
Family Care Health centre,2,Nigeria,FCHC
Maternal Primary Health centre,2,Nigeria,MPHC
Scan Clinic,1,Nigeria,SC
Prison Home Clinic,1,Nigeria,PHC
Care Medical Ultrasound Diagnostics,1,Nigeria,CMUD
State Government Primary Health centre,1,Nigeria,SGPHC
Clinic Ultrasound centre,1,Nigeria,CUC
Federal Government School Clinic,1,Nigeria,FGSC
Medicare Hospital,1,Nigeria,MH
Hospital Marternity Home,1,Nigeria,HMH
Health Medicare,1,Nigeria,HM
Primary Health Care Maternity,1,Nigeria,PHCM
Consultant Medical centre,1,Nigeria,CMC
Health Maternity Hospital,1,Nigeria,HMH
Maternity Dispensary centre,1,Nigeria,MDC
Ultra Scan centre,1,Nigeria,USC
Comprehensive Primary Health Care,1,Nigeria,CPHC
Primary Health Clinic,1,Nigeria,PHC
Comprehensive Primary Healthcare,1,Nigeria,CPH
Community Health Post Centre,1,Nigeria,CHPC
Primary Basic Health centre,1,Nigeria,PBHC
Maternal Child Healthcare,1,Nigeria,MCH
University Health Services ,1,Nigeria,UHS
Primary Health Care,1,Nigeria,PHC
Maternity Child Health Centre,1,Nigeria,MCHC
Post Primary Health Care,1,Nigeria,PPHC
Ultrasound Diagnostic centre,1,Nigeria,UDC
Maternal Dispensary,1,Nigeria,MD
Staff Clinic Primary Health centre,1,Nigeria,SCPHC
Mother Child Maternity,1,Nigeria,MCM
Herbal Medical Clinic,1,Nigeria,HMC
Health Care Hospital,1,Nigeria,HCH
Medical Consultant,1,Nigeria,MC
Medical centre Clinic,1,Nigeria,MCC
Healthcare Hospital,1,Nigeria,HH
Eye Specialist Hospital,1,Nigeria,ESH
Healthcare Diagnostic centre,1,Nigeria,HDC
Eye Hospital centre,1,Nigeria,EHC
Clinical Laboratories,1,Nigeria,CL
Traditional Hospital Maternity Home,1,Nigeria,THMH
Clinical Diagnostic centre,1,Nigeria,CDC
Army Hospital,1,Nigeria,AH
Federal Medical Centre,1,Nigeria,FMC
Healthcare Maternity Home,1,Nigeria,HMH
Federal Dental Clinic,1,Nigeria,FDC
Diagnostic Medical,1,Nigeria,DM
Optical Care,1,Nigeria,OC
Medical Health Clinic,1,Nigeria,MHC
Health Consultant Hospital,1,Nigeria,HCH
Health Care Herbal Hospital,1,Nigeria,HCHH
Pharmacy Health centre,1,Nigeria,PHC
Dental Care,1,Nigeria,DC
Traditional Medical centre,1,Nigeria,TMC
Army Basic Health centre,1,Nigeria,ABHC
Welfare Maternity centre,1,Nigeria,WMC
Welfare Health centre,1,Nigeria,WHC
University Primary Health centre,1,Nigeria,UPHC
Herbal Medical centre,1,Nigeria,HMC
State Hospitals,1,Nigeria,SH
Medical Maternity centre,1,Nigeria,MMC
Nursing Home Clinic,1,Nigeria,NHC
Hospital,1,Nigeria,H
Traditional Hospital,1,Nigeria,TH
Infant Health Clinic,1,Nigeria,IHC
Tuberculosis Leprosy,1,Nigeria,TL
Child Welfare Maternity centre,1,Nigeria,CWMC
Medical Laboratory Services,1,Nigeria,MLS
Health Maternity Centre,1,Nigeria,HMC
Hospital Ultrasound Care,1,Nigeria,HUC
Health Care Services,1,Nigeria,HCS
Hospital Dental centre,1,Nigeria,HDC
Maternity Child centre,1,Nigeria,MCC
Maternity Home Child Welfare Clinic,1,Nigeria,MHCWC
Nursing Child Welfare Clinic,1,Nigeria,NCWC
Traditional Clinic Maternity centre,1,Nigeria,TCMC
Maternity Child Care Clinic,1,Nigeria,MCCC
Maternity Clinic centre,1,Nigeria,MCC
Child Welfare Maternity Home,1,Nigeria,CWMH
Infant Welfare Clinic Hospital,1,Nigeria,IWCH
Care Community Clinic Maternity,1,Nigeria,CCCM
Child Welfare Maternity,1,Nigeria,CWM
Eye Specialist Hospital centre,1,Nigeria,ESHC
Police Comprehensive Health centre,1,Nigeria,PCHC
Federal School Clinic,1,Nigeria,FSC
Leprosy Dispensary,1,Nigeria,LD
Government School Dispensary,1,Nigeria,GSD
Army Health Clinic,1,Nigeria,AHC
Maternity Health Post,1,Nigeria,MHP
Private Primary Health Care,1,Nigeria,PPHC
Clinic Diagnostics,1,Nigeria,CD
Infant General Welfare Clinic,1,Nigeria,IGWC
Maternity Clinic Home,1,Nigeria,MCH
Miracle Medical centre,1,Nigeria,MMC
Health Care Diagnostics,1,Nigeria,HCD
Home Care Clinic,1,Nigeria,HCC
Medicare Hospital Services,1,Nigeria,MHS
Traditional Maternity centre,1,Nigeria,TMC
General Community Hospital,1,Nigeria,GCH
Maternity Medical centre,1,Nigeria,MMC
University Med centre,1,Nigeria,UMC
Federal Basic Health centre,1,Nigeria,FBHC
Psychiatric Specialist Hospital,1,Nigeria,PSH
Tuberculosis Hospital,1,Nigeria,TH
Specialist Eye Hospital,1,Nigeria,SEH
Clinic and maternity Home,1,Nigeria,CH
Family Health Services,1,Nigeria,FHS
Medical Dental centre,1,Nigeria,MDC
Scan centre,1,Nigeria,SC
Basic Comprehensive Health centre,1,Nigeria,BCHC
Women Hospital centre,1,Nigeria,WHC
State Government Clinic,1,Nigeria,SGC
Leprosy Referral centre,1,Nigeria,LRC
Family Specialist Hospital,1,Nigeria,FSH
Maternity Services,1,Nigeria,MS
Maternity Basic Health Clinic,1,Nigeria,MBHC
Maternity Dispensary Centre,1,Nigeria,MDC
Staff Hospital,1,Nigeria,SH
Community Family Medical centre,1,Nigeria,CFMC
Government Maternity centre,1,Nigeria,GMC
School Clinic centre,1,Nigeria,SCC
Dispensary Maternity,1,Nigeria,DM
Nursing Home centre,1,Nigeria,NHC
Government Maternity,1,Nigeria,GM
School Health Primary Health centre,1,Nigeria,SHPHC
State University Health centre,1,Nigeria,SUHC
Government General Hospital,1,Nigeria,GGH
Tuberculosis Clinic,1,Nigeria,TC
Optical centre,1,Nigeria,OC
Mother Child Maternity Home,1,Nigeria,MCMH
Community Eye Care,1,Nigeria,CEC
Dental Clinics,1,Nigeria,DC
Psychiatric Rehabilitation centre,1,Nigeria,PRC
Tuberculosis centre,1,Nigeria,TC
State Government Primary Health Care,1,Nigeria,SGPHC
Women Primary Health centre,1,Nigeria,WPHC
Herbal Clinic centre,1,Nigeria,HCC
Mother Child Health centre,1,Nigeria,MCHC
Diagnostic Medical centre,1,Nigeria,DMC
Staff Medical centre Eye Clinic,1,Nigeria,SMCEC
State Teaching Hospital centre,1,Nigeria,STHC
Marternity Home,1,Nigeria,MH
Motherless Clinic,1,Nigeria,MC
Private Health Post,1,Nigeria,PHP
Tuberculosis Leprosy centre,1,Nigeria,TLC
Scan Diagnostic Services,1,Nigeria,SDS
Dental Centre,1,Nigeria,DC
Childrens Specialist Clinic,1,Nigeria,CSC
Child Health Consultant Clinics,1,Nigeria,CHCC
Community Eye Health centre,1,Nigeria,CEHC
Maternity Health Care centre,1,Nigeria,MHCC
Clinical Laboratory,1,Nigeria,CL
State Veterinary Clinic,1,Nigeria,SVC
State Eye Care,1,Nigeria,SEC
University Teaching Hospital Maternity Annex,1,Nigeria,UTHMA
Miracle Home,1,Nigeria,MH
Hospital Laboratories,1,Nigeria,HL
Medical Clinic Laboratories,1,Nigeria,MCL
Family Maternal Health Care,1,Nigeria,FMHC
Ultrasound Scan centre,1,Nigeria,USC
Miracle Clinic,1,Nigeria,MC
Prison Health Post,1,Nigeria,PHP
Rehabilitation Health Clinic,1,Nigeria,RHC
Primary Health Services,1,Nigeria,PHS
Private Health Clinic,1,Nigeria,PHC
Tuberculosis Health centre,1,Nigeria,THC
Rehabilitation Hospital,1,Nigeria,RH
Community Health Clinc,1,Nigeria,CHC
Infant centre,1,Nigeria,IC
Comprehensive Health Facility,1,Nigeria,CHF
Motherless Home Child Welfare Clinic,1,Nigeria,MHCWC
School Primary Health centre,1,Nigeria,SPHC
Medical Services Clinic,1,Nigeria,MSC
Primary Health Care Clinic centre,1,Nigeria,PHCCC
National Primary Health Care Health centre,1,Nigeria,NPHCHC
Family Care Hospital Maternity,1,Nigeria,FCHM
Traditional Maternity Home,1,Nigeria,TMH
Private Clinic Maternity,1,Nigeria,PCM
Primary Health Clinics,1,Nigeria,PHC
Central Cottage Hospital,1,Nigeria,CCH
Central Health Post,1,Nigeria,CHP
Catholic Maternity Hospital,1,Nigeria,CMH
Mother Specialist Clinic,1,Nigeria,MSC
Federal Health Post,1,Nigeria,FHP
Medical Laboratory Diagnostic Services,1,Nigeria,MLDS
Tuberculosis Leprosy Referral centre,1,Nigeria,TLRC
Clinic maternity,1,Nigeria,CM
Herbal Maternity,1,Nigeria,HM
Government Community Health Clinic,1,Nigeria,GCHC
Childrens Clinic,1,Nigeria,CC
Federal Medical Health Clinic,1,Nigeria,FMHC
Maternal Child Care,1,Nigeria,MCC
Rehabilitation Centre Clinic,1,Nigeria,RCC
Specialist Dental Clinic,1,Nigeria,SDC
Child Maternity Clinic,1,Nigeria,CMC
dispensary Health Post,1,Nigeria,DHP
Health Facility Care Clinic,1,Nigeria,HFCC
Family Care Clinics,1,Nigeria,FCC
Mother Child Care centre,1,Nigeria,MCCC
Tuberculosis Dispensary,1,Nigeria,TD
Private Maternity Home,1,Nigeria,PMH
Primary Healthcare centre,1,Nigeria,PHC
Psychiatric Home,1,Nigeria,PH
Maternal Child Healthcare centre,1,Nigeria,MCHC
Eye Care Services,1,Nigeria,ECS
Family Care Clinic,1,Nigeria,FCC
Laboratory Diagnostic centre,1,Nigeria,LDC
State University Teaching Hospital Annex,1,Nigeria,SUTHA
Community Specialist Hospital,1,Nigeria,CSH
Community Healthcare centre,1,Nigeria,CHC
Infant Hospital,1,Nigeria,IH
Rehabilitation Health centre,1,Nigeria,RHC
Government Maternity Health centre,1,Nigeria,GMHC
Staff Primary Health centre,1,Nigeria,SPHC
Primary Health centre Dispensary,1,Nigeria,PHCD
Mother Child Primary Health Care,1,Nigeria,MCPHC
Federal Specialist Hospital,1,Nigeria,FSH
Federal Specialist Clinic,1,Nigeria,FSC
Community Primary Health centre Clinic,1,Nigeria,CPHCC
Family Primary Health centre,1,Nigeria,FPHC
Comprehensive Hospital centre,1,Nigeria,CHC
School Services Primary Health centre,1,Nigeria,SSPHC
Private Dispensary,1,Nigeria,PD
Primary Health centre Family Clinic,1,Nigeria,PHCFC
School Primary Health Care centre,1,Nigeria,SPHCC
Basic Health Facility centre,1,Nigeria,BHFC
Federal Primary Health Clinic,1,Nigeria,FPHC
Medical Child Health,1,Nigeria,MCH
Maternity Home Services,1,Nigeria,MHS
Maternal Health Care centre,1,Nigeria,MHCC
Asibiti Primary Health centre,1,Nigeria,APHC
Maternity Child healthCare,1,Nigeria,MCHC
Community School Clinic,1,Nigeria,CSC
Child Healthcare centre,1,Nigeria,CHC
Nursing Private Clinic,1,Nigeria,NPC
Surgery Hospital,1,Nigeria,SH
Clinic Eye Care Services,1,Nigeria,CECS
National Comprehensive Healthcare centre,1,Nigeria,NCHC
Dental Laboratory,1,Nigeria,DL
Government School Health Post,1,Nigeria,GSHP
Rehabilitation Clinic,1,Nigeria,RC
Diagnostics Clinic,1,Nigeria,DC
Federal School Dental Dental Clinic,1,Nigeria,FSDDC
Maternity Eye centre,1,Nigeria,MEC
dispensary Clinics,1,Nigeria,DC
Dental Health centre,1,Nigeria,DHC
Maternity Health Care Clinic,1,Nigeria,MHCC
Private Dental Clinic,1,Nigeria,PDC
Welfare Primary Health centre,1,Nigeria,WPHC
School Medical centre,1,Nigeria,SMC
Women Child Hospital,1,Nigeria,WCH
Optical Eye Clinic,1,Nigeria,OEC
Referral Medical centre,1,Nigeria,RMC
Specialist Clinics Maternity centre,1,Nigeria,SCMC
Family Care Specialist Clinic,1,Nigeria,FCSC
Dental Maternity centre,1,Nigeria,DMC
Maternity Health Services,1,Nigeria,MHS
Family Health Care,1,Nigeria,FHC
State Leprosy Hospital,1,Nigeria,SLH
Facilities Primary Health Care centre,1,Nigeria,FPHCC
Maternity Health Centre,1,Nigeria,MHC
Army Rehabilitation Hospital,1,Nigeria,ARH
Government Teaching Hospital,1,Nigeria,GTH
State General Hospital,1,Nigeria,SGH
Medical Dental Clinic,1,Nigeria,MDC
Veterinary Clinc,1,Nigeria,VC
Hospital and maternity Annex,1,Nigeria,HA
Health Clinic and maternity,1,Nigeria,HC
Marternity centre,1,Nigeria,MC
Health Post Dispensary,1,Nigeria,HPD
Primary Health centre,8045,Nigeria,PHC
Health centre,4774,Nigeria,HC
Health Post,4692,Nigeria,HP
Dispensary,3772,Nigeria,Disp
Health Clinic,2937,Nigeria,HC
Clinic,2855,Nigeria,Cln
Hospital,2553,Nigeria,Hosp
Primary Health Care,1299,Nigeria,PHC
Basic Health centre,1175,Nigeria,BHC
Medical centre,961,Nigeria,MC
Clinic Maternity,744,Nigeria,CM
Maternity,717,Nigeria,MAT
General Hospital,616,Nigeria,GH
Primary Health Care centre,612,Nigeria,PHCC
Hospital Maternity,596,Nigeria,HM
Primary Health Clinic,564,Nigeria,PHC
Maternity Home,501,Nigeria,MH
Comprehensive Health centre,453,Nigeria,CHC
Specialist Hospital,377,Nigeria,SH
Community Health centre,241,Nigeria,CHC
Maternal Child Health Clinic,237,Nigeria,MCHC
Clinic Maternity Home,220,Nigeria,CMH
Cottage Hospital,215,Nigeria,CH
Maternity centre,201,Nigeria,MC
Maternity Clinic,200,Nigeria,MC
Medical Clinic,157,Nigeria,MC
Primary Health Care Clinic,156,Nigeria,PHCC
Health Care,102,Nigeria,HC
Community Health Clinic,102,Nigeria,CHC
Maternity Child Health,101,Nigeria,MCH
Nursing Home,87,Nigeria,NH
Specialist Clinic,79,Nigeria,SC
Clinic Maternity centre,75,Nigeria,CMC
Staff Clinic,74,Nigeria,SC
Government Clinic,66,Nigeria,GC
Maternity Hospital,64,Nigeria,MH
Family Clinic,61,Nigeria,FC
Eye Clinic,52,Nigeria,EC
Community Health Post,52,Nigeria,CHP
Maternal Child Health,50,Nigeria,MCH
Community Dispensary,49,Nigeria,CD
Catholic Hospital,48,Nigeria,CH
Medical Laboratory,48,Nigeria,ML
Health Care centre,46,Nigeria,HCC
Federal Medical centre,46,Nigeria,FMC
Dental Clinic,45,Nigeria,DC
Specialist Hospital Maternity,45,Nigeria,SHM
Nursing Maternity Home,44,Nigeria,NMH
Maternity Health centre,43,Nigeria,MHC
Health Clinic Maternity,42,Nigeria,HCM
Clinics,40,Nigeria,Cln
Care Hospital,39,Nigeria,CH
Government Health Clinic,39,Nigeria,GHC
Government Health centre,39,Nigeria,GHC
Maternal Child Health Care,38,Nigeria,MCHC
School Clinic,38,Nigeria,SC
Maternity Child Health centre,35,Nigeria,MCHC
Primary Health,35,Nigeria,PH
Nursing Maternity,33,Nigeria,NM
Hospital Maternity Home,33,Nigeria,HMH
Basic Health Care,32,Nigeria,BHC
Private Health centre,31,Nigeria,PHC
Community Clinic,30,Nigeria,CC
Police Clinic,25,Nigeria,PC
Medical Services,25,Nigeria,MS
Community Hospital,24,Nigeria,CH
Hospitals,24,Nigeria,Hosp
University Teaching Hospital,23,Nigeria,UTH
Hospital Maternity centre,22,Nigeria,HMC
Government Hospital,20,Nigeria,GH
Central Hospital,20,Nigeria,CH
Pharmacy,20,Nigeria,Pharm
Medical Hospital,19,Nigeria,MH
Med centre,19,Nigeria,MC
Community Primary Health centre,19,Nigeria,CPHC
Maternity Child Welfare Clinic,19,Nigeria,MCWC
Leprosy Clinic,19,Nigeria,LC
Healthpost,18,Nigeria,HP
Clinic Hospital,18,Nigeria,CH
Primary Healthcare,18,Nigeria,PH
Maternity Health Clinic,17,Nigeria,MHC
Diagnostic centre,17,Nigeria,DC
Laboratory,17,Nigeria,Lab
Child Health centre,16,Nigeria,CHC
Care Clinic,16,Nigeria,CC
Health Hospital,15,Nigeria,HH
Maternity Nursing Home,15,Nigeria,MNH
Maternity Dispensary,14,Nigeria,MD
Hospital Clinic,14,Nigeria,HC
Medical Clinic Maternity,14,Nigeria,MCM
Medical Diagnostic,14,Nigeria,MD
Clinics Maternity,13,Nigeria,CM
Medical Diagnostic Laboratory,13,Nigeria,MDL
State Specialist Hospital,13,Nigeria,SSH
Private Clinic,13,Nigeria,PC
Health Facilities,13,Nigeria,HF
Prison Clinic,12,Nigeria,PC
Health centre Maternity,12,Nigeria,HCM
Family Health Clinic,12,Nigeria,FHC
Federal Health centre,12,Nigeria,FHC
Medical Diagnostic centre,12,Nigeria,MDC
Teaching Hospital,12,Nigeria,TH
National Primary Health Care,12,Nigeria,NPHC
Clinic Annex,11,Nigeria,CA
Private Hospital,11,Nigeria,PH
Comprehensive Health Clinic,11,Nigeria,CHC
Primary Health Clinic centre,10,Nigeria,PHCC
Catholic Clinic,10,Nigeria,CC
National Primary Health centre,10,Nigeria,NPHC
Community Health Care,10,Nigeria,CHC
Care Medical centre,10,Nigeria,CMC
Dispensary,10,Nigeria,Disp
Diagnostic,10,Nigeria,Diag
Police Hospital,10,Nigeria,PH
Veterinary Clinic,10,Nigeria,VC
Clinic Home,9,Nigeria,CH
