type,count,country,abbreviation
Healthcare centre,9,Nigeria,HC
Maternity Home Clinic,9,Nigeria,MHC
Primary centre,9,Nigeria,PC
Dispensary,9,Nigeria,Disp
Mother Hospital,9,Nigeria,MH
Specialist Clinic Maternity,9,Nigeria,SCM
Family Hospital,9,Nigeria,FH
Maternity Child Health Clinic,9,Nigeria,MCHC
Community Health,9,Nigeria,CH
Orphans Clinic,9,Nigeria,OC
Clinic Primary Health Care,9,Nigeria,CPHC
Eye Hospital,9,Nigeria,EH
Clinic centre,9,Nigeria,CC
Primary Health centre Clinic,9,Nigeria,PHCC
Child Health Clinic,9,Nigeria,CHC
Dental centre,8,Nigeria,DC
Women Welfare Clinic,8,Nigeria,WWC
University Health centre,8,Nigeria,UHC
Government Staff Clinic,8,Nigeria,GSC
Comprehensive Hospital,8,Nigeria,CH
School Health Post,8,Nigeria,SHP
Comprehensive Primary Health centre,8,Nigeria,CPHC
Central Clinic,8,Nigeria,CC
Nursing Maternity centre,8,Nigeria,NMC
Dispensary Clinic,8,Nigeria,DC
Maternity Primary Health centre,8,Nigeria,MPHC
Government Dispensary,8,Nigeria,GD
Hospital centre,7,Nigeria,HC
State Clinic,7,Nigeria,SC
Government School Clinic,7,Nigeria,GSC
Home Clinic,7,Nigeria,HC
University Clinic,7,Nigeria,UC
Maternity Child Welfare,7,Nigeria,MCW
Hospital,7,Nigeria,Hosp
Government School Health Clinic,7,Nigeria,GSHC
Hospital Clinic Maternity,7,Nigeria,HCM
centre Primary Health Care,7,Nigeria,CPHC
Women Hospital,7,Nigeria,WH
Diagnostic Laboratory,7,Nigeria,DL
Nursing Home Maternity,7,Nigeria,NHM
General Hospital,6,Nigeria,GH
Medical centre Maternity,6,Nigeria,MCM
Clinic Health centre,6,Nigeria,CHC
Medicare,6,Nigeria,Medc
Federal Clinic,6,Nigeria,FC
Health Services,6,Nigeria,HS
Basic Clinic,6,Nigeria,BC
Women Health centre,6,Nigeria,WHC
Government Basic Health centre,6,Nigeria,GBHC
Asibiti,6,Nigeria,Asb
Catholic Maternity,6,Nigeria,CM
Tuberculosis Leprosy Clinic,6,Nigeria,TLC
Maternity Child Hospital,6,Nigeria,MCH
Clinic Maternity Annex,6,Nigeria,CMA
Child Welfare Clinic,6,Nigeria,CWC
School Health Clinic,6,Nigeria,SHC
National Hospital,6,Nigeria,NH
State Hospital,6,Nigeria,SH
Army Clinic,5,Nigeria,AC
Med Clinic,5,Nigeria,MC
National Primary Health Care centre,5,Nigeria,NPHCC
Post Primary Health centre,5,Nigeria,PPHC
Consultant Hospital,5,Nigeria,CH
Medical Health centre,5,Nigeria,MHC
Mother Hospital Maternity,5,Nigeria,MHM
Maternity Child Clinic,5,Nigeria,MCC
Care Hospital Maternity,5,Nigeria,CHM
Diagnostics,5,Nigeria,Diag
Infant Welfare Clinic,5,Nigeria,IWC
Medical Laboratory centre,5,Nigeria,MLC
Care Clinic Maternity,5,Nigeria,CCM
Maternal Child Clinic,5,Nigeria,MCC
Central Primary Health centre,5,Nigeria,CPHC
Psychiatric Hospital,5,Nigeria,PH
Community centre,5,Nigeria,CC
School Nursing,5,Nigeria,SN
Community Maternity Clinic,5,Nigeria,CMC
Ultra Health centre,5,Nigeria,UHC
Central Dispensary,5,Nigeria,CD
Clinic Maternity Hospital,5,Nigeria,CMH
Government Primary Health centre,5,Nigeria,GPHC
Comprehensive Health Care,5,Nigeria,CHC
Health Facility,5,Nigeria,HF
Medical Care,5,Nigeria,MC
Medical Clinics,5,Nigeria,MC
Childrens Hospital,5,Nigeria,CH
Federal Primary Health centre,5,Nigeria,FPHC
Optical Services,5,Nigeria,OS
Catholic Health centre,5,Nigeria,CHC
Women Health Clinic,5,Nigeria,WHC
Eye centre,5,Nigeria,EC
Maternity Welfare Clinic,5,Nigeria,MWC
Maternity Health Care,5,Nigeria,MHC
Medicare Clinic,5,Nigeria,MC
Consultant Clinic,4,Nigeria,CC
Women Clinic,4,Nigeria,WC
Mother Clinic,4,Nigeria,MC
Women Child Welfare Clinic,4,Nigeria,WCWC
Government Primary Health Clinic,4,Nigeria,GPHC
State Primary Health Care,4,Nigeria,SPHC
Maternity,4,Nigeria,Mat
Comprehensive Clinic,4,Nigeria,CC
Community Comprehensive Health centre,4,Nigeria,CCHC
Family Health centre,4,Nigeria,FHC
Child Clinic,4,Nigeria,CC
Leprosy Hospital,4,Nigeria,LH
Dental Hospital,4,Nigeria,DH
University Medical centre,4,Nigeria,UMC
Clinic,4,Nigeria,Cln
Medical centre Hospital Maternity,4,Nigeria,MCHM
Hospital Maternity Clinic,4,Nigeria,HMC
Hospital Ultrasound centre,4,Nigeria,HUC
Government Health Post,4,Nigeria,GHP
Clinic Maternity Clinic,4,Nigeria,CMC
Comprehensive centre,4,Nigeria,CC
Dispensary Maternity,4,Nigeria,DM
Rehabilitation centre,4,Nigeria,RC
Maternity Child Primary Health centre,4,Nigeria,MCPHC
Optical Clinic,4,Nigeria,OC
Community Hospital Maternity,4,Nigeria,CHM
Comprehensive Health Care centre,4,Nigeria,CHCC
Dispensary Hospital,4,Nigeria,DH
Family Clinic Maternity,4,Nigeria,FCM
Health Maternity,4,Nigeria,HM
Laboratories,4,Nigeria,Lab
State Health centre,4,Nigeria,SHC
Federal Hospital,4,Nigeria,FH
Medical Laboratories,4,Nigeria,ML
Primary School Clinic,4,Nigeria,PSC
Medical Dispensary,4,Nigeria,MD
Comprehensive Health,4,Nigeria,CH
Hospital Diagnostic centre,4,Nigeria,HDC
centre Clinic,4,Nigeria,CC
Primary Health centre Maternity,4,Nigeria,PHCM
Maternity,4,Nigeria,Mat
Primary Care,4,Nigeria,PC
Eye Care,4,Nigeria,EC
Basic Primary Health centre,4,Nigeria,BPHC
Health Primary Health centre,4,Nigeria,HPHC
Specialist Clinics,4,Nigeria,SC
Care Specialist Hospital,4,Nigeria,CSH
Clinic Primary Health centre,4,Nigeria,CPHC
Women Health,4,Nigeria,WH
Medical centre Maternity Home,3,Nigeria,MCMH
Police Health centre,3,Nigeria,PHC
Medical Diagnostics,3,Nigeria,MD
Health Health centre,3,Nigeria,HHC
Police Cottage Hospital,3,Nigeria,PCH
Dental,3,Nigeria,Dent
Referral Hospital,3,Nigeria,RH
Hospital Services,3,Nigeria,HS
Mother Child Hospital,3,Nigeria,MCH
Health Specialist Clinic,3,Nigeria,HSC
Medical Clinic Maternity centre,3,Nigeria,MCMC
Central Health centre,3,Nigeria,CHC
Basic Health Post,3,Nigeria,BHP
Care Maternity,3,Nigeria,CM
Med Hospital,3,Nigeria,MH
Leprosy centre,3,Nigeria,LC
Army Health centre,3,Nigeria,AHC
Clinic Medical centre,3,Nigeria,CMC
primary Health centre,3,Nigeria,PHC
Comprehensive Primary Health Care centre,3,Nigeria,CPHCC
health centre,3,Nigeria,HC
Child Care centre,3,Nigeria,CCC
Herbal Clinic,3,Nigeria,HC
centre Comprehensive Health,3,Nigeria,CCH
Health Clinics,3,Nigeria,HC
National centre,3,Nigeria,NC
Mother Maternity Home,3,Nigeria,MMH
Cottage Clinic,3,Nigeria,CC
Federal Staff Clinic,3,Nigeria,FSC
School Dispensary,3,Nigeria,SD
Hospital Maternity,3,Nigeria,HM
National Medical centre,3,Nigeria,NMC
Mother Maternity,3,Nigeria,MM
Medical Maternity,3,Nigeria,MM
Health Post,3,Nigeria,HP
Medical Clinic Maternity Home,3,Nigeria,MCMH
Miracle Hospital,3,Nigeria,MH
Specialist Medical centre,3,Nigeria,SMC
Specialist Maternity,3,Nigeria,SM
National Clinic,3,Nigeria,NC
Laboratory Services,3,Nigeria,LS
centre Primary Health centre,3,Nigeria,CPHC
Maternityernal Child Health centre,3,Nigeria,MCHC
Community Primary Health Care centre,3,Nigeria,CPHCC
Clinic Laboratory,3,Nigeria,CL
Primary Clinic,3,Nigeria,PC
Child Health Care,3,Nigeria,CHC
Maternal Health Clinic,3,Nigeria,MHC
Community Maternity,3,Nigeria,CM
Government Maternity Clinic,3,Nigeria,GMC
Community Primary Health Care,3,Nigeria,CPHC
Police Health Clinic,3,Nigeria,PHC
centre Health Clinic,3,Nigeria,CHC
University Hospital,3,Nigeria,UH
Nursing Maternity Clinic,3,Nigeria,NMC
Health Facility centre,3,Nigeria,HFC
Primary Healthcare Clinic,3,Nigeria,PHC
Government Cottage Hospital,3,Nigeria,GCH
Cottage Hospital Maternity,3,Nigeria,CHM
Maternal Clinic,3,Nigeria,MC
Comprehensive Medical centre,3,Nigeria,CMC
Mother Child,3,Nigeria,MC
Health Clinic Annex,3,Nigeria,HCA
Aged Clinic,3,Nigeria,AC
Maternity Child,3,Nigeria,MC
Catholic Clinic Maternity,3,Nigeria,CCM
Clinic Diagnostic centre,3,Nigeria,CDC
Diagnostic Services,3,Nigeria,DS
Health Care Clinic,3,Nigeria,HCC
Federal Teaching Hospital,3,Nigeria,FTH
Motherless Home,2,Nigeria,MH
maternity centre,2,Nigeria,MC
Medical Dental Hospital,2,Nigeria,MDH
Catholic Specialist Hospital,2,Nigeria,CSH
Central Maternity Home,2,Nigeria,CMH
Catholic Health centre Maternity,2,Nigeria,CHCM
Care Health centre,2,Nigeria,CHC
Hospital Motherless,2,Nigeria,HM
Health Maternity centre,2,Nigeria,HMC
Maternal Child centre,2,Nigeria,MCC
Mother Child Welfare centre,2,Nigeria,MCWC
Primary Care centre,2,Nigeria,PCC
Specialist Teaching Hospital,2,Nigeria,STH
Maternal Health Care,2,Nigeria,MHC
State University Clinic,2,Nigeria,SUC
Aged Women Clinic,2,Nigeria,AWC
Health Clinc,2,Nigeria,HC
Hospital Scan centre,2,Nigeria,HSC
Family Hospital Maternity,2,Nigeria,FHM
Maternity Child Welfare centre,2,Nigeria,MCWC
Maternity Care,2,Nigeria,MC
Health Clinic centre,2,Nigeria,HCC
Clinic Maternity Health centre,2,Nigeria,CMHC
Prison Hospital,2,Nigeria,PH
Health centre Maternity Clinic,2,Nigeria,HCMC
Maternity Clinics,2,Nigeria,MC
Hospital Clinics,2,Nigeria,HC
National Primary Healthcare,2,Nigeria,NPH
Medical Maternity Home,2,Nigeria,MMH
Maternity Child Care,2,Nigeria,MCC
Maternityernal Child Health Care centre,2,Nigeria,MCHCC
Clinic Hospital Maternity,2,Nigeria,CHM
Specialist centre,2,Nigeria,SC
Care Specialist Clinic,2,Nigeria,CSC
Community School Health Post,2,Nigeria,CSHP
Diagnostic Hospital,2,Nigeria,DH
Community Health Care centre,2,Nigeria,CHCC
Home Maternity,2,Nigeria,HM
Care centre,2,Nigeria,CC
Clinc Maternity,2,Nigeria,CM
Psychiatric Clinic,2,Nigeria,PC
Maternal Child Welfare Clinic,2,Nigeria,MCWC
maternity Home,2,Nigeria,MH
Maternityernal Child Health Care,2,Nigeria,MCHC
Infant Clinic,2,Nigeria,IC
Maternity Family centre,2,Nigeria,MFC
centre Hospital,2,Nigeria,CH
Hospital Medical centre,2,Nigeria,HMC
Community Cottage Hospital,2,Nigeria,CCH
Diagnostic Clinic,2,Nigeria,DC
Welfare Clinic,2,Nigeria,WC
Community General Hospital,2,Nigeria,CGH
Welfare Hospital,2,Nigeria,WH
Federal Staff Hospital,2,Nigeria,FSH
Family Medical centre,2,Nigeria,FMC
Referral Health centre,2,Nigeria,RHC
Central Primary School Clinic,2,Nigeria,CPSC
Hospital Marternity,2,Nigeria,HM
Specialist Hospital centre,2,Nigeria,SHC
Medicare centre,2,Nigeria,MC
Health Medical centre,2,Nigeria,HMC
Health Laboratory,2,Nigeria,HL
General Clinic,2,Nigeria,GC
Maternal Child Hospital,2,Nigeria,MCH
Federal Health Clinic,2,Nigeria,FHC
Post Dispensary,2,Nigeria,PD
Federal Government Clinic,2,Nigeria,FGC
Maternity Child Primary Health Clinic,2,Nigeria,MCPHC
Clinic Maternity Laboratory,2,Nigeria,CML
Family Health Post,2,Nigeria,FHP
Health Primary centre,2,Nigeria,HPC
Miracle Maternity,2,Nigeria,MM
Community Medical centre,2,Nigeria,CMC
Maternal Primary Health centre,2,Nigeria,MPHC
Central Hospital Maternity,2,Nigeria,CHM
centre Health Post,2,Nigeria,CHP
Army Medical centre,2,Nigeria,AMC
Comprehensive School Clinic,2,Nigeria,CSC
Health Clinic,2,Nigeria,HC
Family Health Care centre,2,Nigeria,FHCC
Basic Primary Health Clinic,2,Nigeria,BPHC
Health Primary Care,2,Nigeria,HPC
Marternity Health Care,2,Nigeria,MHC
School Health centre,2,Nigeria,SHC
Federal Psychiatric Hospital,2,Nigeria,FPH
Maternity Infant Welfare Clinic,2,Nigeria,MIWC
Ultra Hospital,2,Nigeria,UH
Herbal Home,2,Nigeria,HH
Medical centre Laboratory,2,Nigeria,MCL
Community Referral Health centre,2,Nigeria,CRHC
Community Primary Health Clinic,2,Nigeria,CPHC
Diagnostic Medical Laboratory,2,Nigeria,DML
Health Diagnostic centre,2,Nigeria,HDC
Asibiti Health Post,2,Nigeria,AHP
Specialist Eye Clinic,2,Nigeria,SEC
Maternity Health,2,Nigeria,MH
Clinic Marternity Home,2,Nigeria,CMH
Hospital Diagnostics,2,Nigeria,HD
Leprosy Health Care,2,Nigeria,LHC
Medical Scan Diagnostic centre,2,Nigeria,MSDC
School Health,2,Nigeria,SH
Government School Primary Health centre,2,Nigeria,GSPHC
Optical Services Eye Clinic,2,Nigeria,OSEC
Veterinary Hospital,2,Nigeria,VH
Diagnostics Clinical Services,2,Nigeria,DCS
Federal Primary Health Care,2,Nigeria,FPHC
Specialist Hospitals,2,Nigeria,SH
State Medical centre,2,Nigeria,SMC
Medical Diagnostic Services,2,Nigeria,MDS
State University Medical centre,2,Nigeria,SUMC
Tuberculosis Leprosy Hospital,2,Nigeria,TLH
School Primary Health Care,2,Nigeria,SPHC
Aged Widow Clinic,2,Nigeria,AWC
Home Hospital,2,Nigeria,HH
Catholic Maternity Hospital,2,Nigeria,CMH
Traditional Clinic,2,Nigeria,TC
Women Specialist Clinic,2,Nigeria,WSC
Clinic Marternity,2,Nigeria,CM
Hospitals Maternity,2,Nigeria,HM
Family Care Hospital,2,Nigeria,FCH
Specialist Hospital Diagnostic centre,2,Nigeria,SHDC
Health centre Clinic,2,Nigeria,HCC
Police Medical Clinic,2,Nigeria,PMC
Clinic Andmaternity,2,Nigeria,CA
Hospital Maternity Laboratory,2,Nigeria,HML
Widow Aged Clinic,2,Nigeria,WAC
Private Primary Health centre,2,Nigeria,PPHC
Central Health Clinic,2,Nigeria,CHC
State Primary Health centre,2,Nigeria,SPHC
Medical Hospital Maternity Home,2,Nigeria,MHMH
Eye Hospital Maternity,1,Nigeria,EHM
Child Welfare Maternity,1,Nigeria,CWM
Clinic Diagnostic,1,Nigeria,CD
Primary Health Clinics,1,Nigeria,PHC
Care Community Clinic Maternity,1,Nigeria,CCCM
Medical Scan centre,1,Nigeria,MSC
Clinic Maternity Child Health centre Care,1,Nigeria,CMCHCC
School Primary Health Care centre,1,Nigeria,SPHCC
Dental Surgery,1,Nigeria,DS
Med Clinics,1,Nigeria,MC
Infant Welfare Clinic Hospital,1,Nigeria,IWCH
Private Dispensary,1,Nigeria,PD
Basic Hospital,1,Nigeria,BH
Hospital Welfare centre,1,Nigeria,HWC
Women Child Hospital,1,Nigeria,WCH
Referral Medical centre,1,Nigeria,RMC
Maternity Health Care Clinic,1,Nigeria,MHCC
Maternity Home Hospital,1,Nigeria,MHH
Medical Nursing Home,1,Nigeria,MNH
Medical Eye Clinic,1,Nigeria,MEC
Motherless Clinic,1,Nigeria,MC
Dental Clinics,1,Nigeria,DC
Clinic,1,Nigeria,Cln
Eye Specialist Hospital centre,1,Nigeria,ESHC
Infant General Welfare Clinic,1,Nigeria,IGWC
Care Med centre,1,Nigeria,CMC
Care Nursing Home,1,Nigeria,CNH
Medical Medical centre,1,Nigeria,MMC
Family Care Specialist Clinic Maternity,1,Nigeria,FCSCM
Hospital Eye Clinic,1,Nigeria,HEC
Specialist Eye Hospital,1,Nigeria,SEH
Medicare Medical centre,1,Nigeria,MMC
Med Health centre,1,Nigeria,MHC
Ultrasound Scan centre,1,Nigeria,USC
Miracle Maternity centre,1,Nigeria,MMC
Clinic Health,1,Nigeria,CH
Mother Hospital Clinic,1,Nigeria,MHC
Clinic Ultrasound centre,1,Nigeria,CUC
Clinics Surgery,1,Nigeria,CS
Optical centre,1,Nigeria,OC
Child centre,1,Nigeria,CC
Hospital Maternity Welfare centre,1,Nigeria,HMWC
Nursing Marternity,1,Nigeria,NM
Central Staff Clinic,1,Nigeria,CSC
Specialist Hospital Surgery,1,Nigeria,SHS
Hospital Primary Health centre,1,Nigeria,HPHC
State Health Staff Clinic,1,Nigeria,SHSC
Hospital Maternity Annex,1,Nigeria,HMA
Scan Clinic,1,Nigeria,SC
dispensary Health Post,1,Nigeria,DHP
Nursing Child Welfare Clinic,1,Nigeria,NCWC
Primary Basic Health centre,1,Nigeria,PBHC
Welfare Maternity centre,1,Nigeria,WMC
Medical Laboratory Diagnostic Services,1,Nigeria,MLDS
Clinic Primary Health Clinic,1,Nigeria,CPHC
Primary Health Care Maternity,1,Nigeria,PHCM
Primary Health Health Care,1,Nigeria,PHHC
Laboratory Diagnostic centre,1,Nigeria,LDC
Health Clinic,1,Nigeria,HC
Clinic Eye Care Services,1,Nigeria,CECS
Private Maternity Home,1,Nigeria,PMH
Medical centre Annex,1,Nigeria,MCA
Medical centre Clinic,1,Nigeria,MCC
Consultant Medical centre,1,Nigeria,CMC
Community School Clinic,1,Nigeria,CSC
Federal Dental Clinic,1,Nigeria,FDC
Welfare Hospital Government,1,Nigeria,WHG
Medicare Hospital,1,Nigeria,MH
Infant Health Clinic,1,Nigeria,IHC
Eye Care Services,1,Nigeria,ECS
Infant Hospital,1,Nigeria,IH
Rehabilitation Health Clinic,1,Nigeria,RHC
Primary Health Care,1,Nigeria,PHC
Central Maternity Hospital,1,Nigeria,CMH
Primary Health Services,1,Nigeria,PHS
Tuberculosis Health centre,1,Nigeria,THC
State University Health centre,1,Nigeria,SUHC
Traditional Maternity centre,1,Nigeria,TMC
Tuberculosis Hospital,1,Nigeria,TH
General Community Hospital,1,Nigeria,GCH
Medical Health Care centre,1,Nigeria,MHCC
Comprehensive Primary Health Care,1,Nigeria,CPHC
Tuberculosis Leprosy centre,1,Nigeria,TLC
Health Clinic Hospital,1,Nigeria,HCH
Ultrasound Diagnostic centre,1,Nigeria,UDC
Medical Clinic Health centre,1,Nigeria,MCHC
Medical Health Clinic,1,Nigeria,MHC
Hospital Maternity Clinic Surgery,1,Nigeria,HMCS
Family Care Clinics,1,Nigeria,FCC
Tuberculosis Dispensary,1,Nigeria,TD
Family Health Care,1,Nigeria,FHC
Specialist Hospital,1,Nigeria,SH
Staff Hospital,1,Nigeria,SH
Family Care Clinic,1,Nigeria,FCC
University Health Services,1,Nigeria,UHS
Scan centre,1,Nigeria,SC
Maternal Child Healthcare centre,1,Nigeria,MCHC
State Teaching Hospital centre,1,Nigeria,STHC
Medical Diagnostics Laboratory,1,Nigeria,MDL
Psychiatric Home,1,Nigeria,PH
Nursing Private Clinic,1,Nigeria,NPC
Prison Health Post,1,Nigeria,PHP
Women Hospital centre,1,Nigeria,WHC
Women centre Clinic,1,Nigeria,WCC
Clinic Nursing Home,1,Nigeria,CNH
Clinic and maternity Home,1,Nigeria,CH
Government Family Clinic,1,Nigeria,GFC
Diagnostics Clinic,1,Nigeria,DC
Veterinary Clinic,1,Nigeria,VC
Health Clinic and maternity,1,Nigeria,HC
Health Specialist,1,Nigeria,HS
Childrens Clinic,1,Nigeria,CC
Leprosy Dispensary,1,Nigeria,LD
Primary Health Clinic Maternity,1,Nigeria,PHCM
Dental Laboratory,1,Nigeria,DL
State Leprosy Hospital,1,Nigeria,SLH
Federal Primary School Health centre,1,Nigeria,FPSHC
Medical Health Care,1,Nigeria,MHC
Health Maternity Home,1,Nigeria,HMH
Maternal Dispensary,1,Nigeria,MD
Army Rehabilitation Hospital,1,Nigeria,ARH
Catholic Community Hospital,1,Nigeria,CCH
Catholic General Hospital,1,Nigeria,CGH
Private Clinic Maternity,1,Nigeria,PCM
Primary Health centre Family Clinic,1,Nigeria,PHCFC
Hospital Medical Diagnostic Laboratory,1,Nigeria,HMDL
Catholic Maternity Hospital Annex,1,Nigeria,CMHA
Home Care,1,Nigeria,HC
Dispensary Health Clinic,1,Nigeria,DHC
Community Primary Health centre Clinic,1,Nigeria,CPHCC
Mother Child Primary Health Care,1,Nigeria,MCPHC
Catholic Health Post,1,Nigeria,CHP
Rehabilitation Primary Health centre,1,Nigeria,RPHC
Primary Healthcare Maternity,1,Nigeria,PHM
Central Cottage Hospital,1,Nigeria,CCH
Federal Dental Clinic,1,Nigeria,FDC
Government Maternity,1,Nigeria,GM
Women Maternal Health centre,1,Nigeria,WMHC
Maternity Clinic Home,1,Nigeria,MCH
Health Care Maternity,1,Nigeria,HCM
Hospital and maternity Annex,1,Nigeria,HA
Clinic Maternity Surgery,1,Nigeria,CMS
Police Comprehensive Health centre,1,Nigeria,PCHC
Catholic Community Specialist Hospital,1,Nigeria,CCSH
Private Catholic Hospital,1,Nigeria,PCH
Basic Health centre,1,Nigeria,BHC
Maternity centre,1,Nigeria,MC
National Medical Clinic,1,Nigeria,NMC
Teaching Hospital,1,Nigeria,TH
Staff Clinic,1,Nigeria,SC
Mother Specialist Clinic,1,Nigeria,MSC
Central Community Health centre,1,Nigeria,CCHC
Maternity Health centre,1,Nigeria,MHC
Government General Hospital,1,Nigeria,GGH
Federal Specialist Hospital,1,Nigeria,FSH
Dental Health centre,1,Nigeria,DHC
Federal Specialist Clinic,1,Nigeria,FSC
Child Clinic and Maternity,1,Nigeria,CCM
Family Health Services,1,Nigeria,FHS
Basic Comprehensive Health centre,1,Nigeria,BCHC
Government Maternity centre,1,Nigeria,GMC
Primary Health Clinc,1,Nigeria,PHC
Maternity centre ,1,Nigeria,MC
Medical Dental Clinic,1,Nigeria,MDC
Primary Health centre,1,Nigeria,PHC
Community Healthcare centre,1,Nigeria,CHC
Rehabilitation Health centre,1,Nigeria,RHC
Army Basic Health centre,1,Nigeria,ABHC
University Teaching Hospital Annex,1,Nigeria,UTHA
State Hospitals,1,Nigeria,SH
Health Care Clinc,1,Nigeria,HCC
Health Post Dispensary,1,Nigeria,HPD
Clinical Home,1,Nigeria,CH
Government Primary Health Care,1,Nigeria,GPHC
Eye centre,1,Nigeria,EC
Prison Primary Health centre,1,Nigeria,PPHC
Basic Health Facility centre,1,Nigeria,BHFC
Private Maternity Home,1,Nigeria,PMH
Marternity Home,1,Nigeria,MH
Clinic Maternity Child Welfare,1,Nigeria,CMCW
Specialist Clinic Hospital,1,Nigeria,SCH
Child Health Consultant Clinics,1,Nigeria,CHCC
Welfare Health centre,1,Nigeria,WHC
Traditional Hospital,1,Nigeria,TH
Health Care Services,1,Nigeria,HCS
Welfare centre,1,Nigeria,WC
Clinic Healthcare,1,Nigeria,CH
Herbal Hospital,1,Nigeria,HH
Healthcare Hospital,1,Nigeria,HH
Tuberculosis Leprosy Referral centre,1,Nigeria,TLRC
Government Dental centre,1,Nigeria,GDC
Police Comprehensive Hospital,1,Nigeria,PCH
University Medical Centre,1,Nigeria,UMC
Psychiatric Rehabilitation centre,1,Nigeria,PRC
Veterinary Clinic,1,Nigeria,VC
Leprosy Referral centre,1,Nigeria,LRC
Specialist Laboratory,1,Nigeria,SL
Diagnostic Medical Laboratory,1,Nigeria,DML
Home Care Clinic,1,Nigeria,HCC
Rehabilitation Hospital,1,Nigeria,RH
Federal Basic Health centre,1,Nigeria,FBHC
Clinical Diagnostic centre,1,Nigeria,CDC
Laboratory Clinic,1,Nigeria,LC
Community Health Clinc,1,Nigeria,CHC
Army Health Clinic,1,Nigeria,AHC
Childrens Specialist Clinic,1,Nigeria,CSC
Family Specialist Hospital,1,Nigeria,FSH
Medical Laboratory Services,1,Nigeria,MLS
Health Care Diagnostics,1,Nigeria,HCD
University Primary Health centre,1,Nigeria,UPHC
Clinical Diagnostic Laboratory,1,Nigeria,CDL
Nursing Clinic,1,Nigeria,NC
Comprehensive Healthcare,1,Nigeria,CH
Community Eye Health centre,1,Nigeria,CEHC
Medicare Laboratory centre,1,Nigeria,MLC
Health centre ,1,Nigeria,HC
University Medical centre,1,Nigeria,UMC
Family Medicare,1,Nigeria,FM
Hospital Maternity Specialist Medical centre,1,Nigeria,HMSMC
Private Primary Health Care,1,Nigeria,PPHC
Community Specialist Hospital,1,Nigeria,CSH
Eye Specialist Hospital,1,Nigeria,ESH
Traditional Medical centre,1,Nigeria,TMC
Army Hospital,1,Nigeria,AH
Catholic Medical centre,1,Nigeria,CMC
Primary Health centre Dispensary,1,Nigeria,PHCD
Psychiatric Specialist Hospital,1,Nigeria,PSH
Medical clinic,1,Nigeria,MC
Comprehensive Hospital centre,1,Nigeria,CHC
Health Basic centre,1,Nigeria,HBC
Maternity Primary Health Care centre,1,Nigeria,MPHCC
Maternal Child Specialist Clinic,1,Nigeria,MCSC
Specialist Hospital Dental Clinic,1,Nigeria,SHDC
Specialist Clinic Eye,1,Nigeria,SCE
Tuberculosis Clinic,1,Nigeria,TC
Medical Laboratory Diagnostic,1,Nigeria,MLD
Health Post Clinic,1,Nigeria,HPC
Nursing Home Clinic,1,Nigeria,NHC
Herbal Medical centre,1,Nigeria,HMC
School Clinic centre,1,Nigeria,SCC
Comprehensive Basic Health centre,1,Nigeria,CBHC
Private Dental Clinic,1,Nigeria,PDC
National Comprehensive Healthcare centre,1,Nigeria,NCHC
Dental Services,1,Nigeria,DS
School Medical centre,1,Nigeria,SMC
Primary Care Clinic,1,Nigeria,PCC
Private Health Post,1,Nigeria,PHP
State Government Primary Health centre,1,Nigeria,SGPHC
Mother Care Hospital,1,Nigeria,MCH
Rehabilitation Clinic,1,Nigeria,RC
Clinical Laboratories,1,Nigeria,CL
Family Care Medical centre,1,Nigeria,FCMC
Medical centre Hospital,1,Nigeria,MCH
Maternity Services,1,Nigeria,MS
Comprehensive Primary Healthcare,1,Nigeria,CPH
Tuberculosis centre,1,Nigeria,TC
Traditional Maternity Home,1,Nigeria,TMH
Marternity centre,1,Nigeria,MC
